id,References,Value,Footprint,Quantity,JLCPCB partnumber
1,"C15, C16",1uF,C_0805,2,
2,C8,0.1uF,C_0805,1,
3,C19,100uF,C_1206,1,
4,C20,10uF,C_0805,1,
6,"R9, R10, R11, R12, R14",1k,R_0805,5,
7,"R1, R2, R3, R4",100k,R_0805,4,
8,R18,10k,R_0805,1,
9,R19,0R,R_1206,1,
10,R43,1.8k,R_0805,1,
11,R44,1.1k,R_0805,1,
12,"D1, D2",GREEN,D_0805,2,
13,D3,ORANGE,D_0805,1,
14,D4,RED,D_0805,1,
15,D5,BLUE,D_0805,1,
16,U6,TMP100NA/3K,TMP100NA3K,1,
17,U11,LP38693MP-3.3-NOPB,LP38693MP-3.3-NOPB,1,
18,U12,MIC29302AWD,MIC29302AWD,1,
21,"JB1, JB2",LSHM-150-04.0-L-DV-A-S-K-TR,LSHM-150-04.0-L-DV-A-S-K-TR,2,
22,JB3,LSHM-130-04.0-L-DV-A-S-K-TR,LSHM-130-04.0-L-DV-A-S-K-TR,1,
23,S1,KAD08LHGT,KAD08LHGT,1,
25,J1,9455511123,9455511123,1,
26,J2,AMPHENOL_10025026-10201TLF,10025026-10201TLF,1,
28,J5,39-30-0020,39-30-020,1,
