Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C8,0.1uF,C_0805,114.025969,-93.044031,180,top
C15,1uF,C_0805,123.735969,-53.404031,-90,top
C16,1uF,C_0805,113.625969,-61.234031,180,top
C19,100uF,C_1206,122.155969,-62.274031,0,top
C20,10uF,C_0805,113.625969,-63.334031,180,top
D1,GREEN,D_0805,98.295969,-92.219031,90,top
D2,GREEN,D_0805,101.335969,-92.219031,90,top
D3,ORANGE,D_0805,104.375969,-92.219031,90,top
D4,RED,D_0805,107.415969,-92.219031,90,top
D5,BLUE,D_0805,110.455969,-92.219031,90,top
J1,9455511123,9455511123,128.995969,-84.369031,90,top
J2,AMPHENOL_10025026-10201TLF,10025026-10201TLF,49.035969,-69.234031,-90,top
J5,39-30-0020,39-30-020,132.525969,-92.334031,90,top
JB1,LSHM-150-04.0-L-DV-A-S-K-TR,LSHM-150-04.0-L-DV-A-S-K-TR,90.425969,-69.234031,-90,top
JB2,LSHM-150-04.0-L-DV-A-S-K-TR,LSHM-150-04.0-L-DV-A-S-K-TR,58.425969,-69.234031,-90,top
JB3,LSHM-130-04.0-L-DV-A-S-K-TR,LSHM-130-04.0-L-DV-A-S-K-TR,74.425969,-90.234031,0,top
R1,100k,R_0805,98.455969,-78.334031,0,top
R2,100k,R_0805,102.153469,-77.334031,180,top
R3,100k,R_0805,98.465969,-80.244031,0,top
R4,100k,R_0805,68.805969,-84.984031,90,top
R9,1k,R_0805,98.275969,-88.754031,90,top
R10,1k,R_0805,101.315969,-88.794031,90,top
R11,1k,R_0805,104.365969,-88.824031,90,top
R12,1k,R_0805,107.405969,-88.814031,90,top
R14,1k,R_0805,110.455969,-88.754031,90,top
R18,10k,R_0805,102.145969,-79.204031,180,top
R19,0R,R_1206,64.035969,-83.334031,-90,top
R43,1.8k,R_0805,114.313469,-66.334031,90,top
R44,1.1k,R_0805,111.513469,-65.634031,180,top
S1,KAD08LHGT,KAD08LHGT,115.295969,-51.844031,180,top
U6,TMP100NA/3K,TMP100NA3K,114.125969,-90.094031,0,top
U11,LP38693MP-3.3-NOPB,LP38693MP-3.3-NOPB,118.380919,-57.124031,0,top
U12,MIC29302AWD,MIC29302AWD,119.455969,-71.709031,180,top
